source_sheet,Code,Définition,Précisions,source_file,Restitution,Etape,Définition_E,Principe,Définition _PP,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,Degré 3 ,Degré 2 ,Degré 1 ,Degré 0,Source,Deal-Breaker (Oui/Non),Commentaires ,Degré 3, Degré 1,Paramètre,Degré 1
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,2. niveau de détail de l'information ,,,,,,"Sont publiées en ligne (ces conditions sont cumulatives) : a) toutes les informations et la documentation concernant la structure de gouvernance (ou responsables de la gestion et de l’allocation fonds). b) toutes les informations concernant les programmes d’allocation des fonds, ainsi que le budget alloué à chaque programme. c) toutes les informations sur les besoins de la population et les priorités identifiées. Chacune de ces décisions est justifiée.","Les informations publiées concernant la structure de gouvernance (ou responsables de la gestion et de l’allocation fonds), les programmes d’allocation des fonds et les priorités identifiées : a) ne sont que brièvement présentées dans les publications officielles. b) ne sont pas détaillées. c) les décisions ne sont pas justifiées.","N'est disponible sur internet que le nom de la structure de gouvernance (ou responsables de la gestion et de l’allocation fonds), des programmes récipiendaires, et des priorités identifiées : a) sans aucun détail sur leur rôle, fonctionnement. b) sans les étapes et modalités de mise en œuvre. c) sans aucune explication sur les choix effectués. ",Les conditions d’attribution des fonds et les responsables de leur gestion ne font l’objet d’aucune publication.,,"On ne peut pas savoir quelles informations étaient effectivement accessible au moment de la sélection. Dans ce cas, retenir le degré du dessous.",,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,3. délai de fréquence de publication,,,,,,Les publications sont effectuées (cumulativement) : a) en temps et en heure. b) tout au long du processus de sélection.,"Ces informations sont publiées tardivement ou aléatoirement au cours du processus de sélection, ce qui ne permet pas à la société civile d'avoir accès aux informations en temps et en heure.",Les informations ne sont publiées qu'au commencement de la mise en œuvre.,"Il n'y a aucune publication sur les responsables de la gestion des fonds, les modalités et les objectifs. ",,"Seules des informations générales sont publiées en temps et en heure, mais la société civile n’est pas tenue au courant des choix effectués pendant le processus, retenir le degré 2. ",,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,redevabilité (P_R),"La gestion des fonds est confiée à une entité professionnelle et indépendante, sélectionnée suite à un appel d’offres selon les meilleures pratiques. Les modalités de restitution, et plus particulièrement les programmes d’allocation, répondent aux exigences de transparence, d’équité et d’impartialité, reposant sur des critères objectifs permettant de garantir que les besoins et les attentes des populations affectées ont été pris en compte.",4. planification et formalisation du processus de restitution,,,,,,"La sélection programmes d’allocation s'effectue dans le respect des conditions (cumulatives) suivantes : a) à la suite de l’organisation d’une consultation publique permettant d’identifier les besoins et attentes des populations affectées. b) cette consultation est organisée conformément aux meilleures pratiques. c) la société civile a la possibilité, à l'occasion de cette consultation, de soumettre des propositions, qui sont prises en compte et discutées à l'issue de la consultation.","La sélection des programmes d’allocation s'effectue dans une des conditions suivantes : a) par le pays d’origine, en concertation avec le pays d’accueil, de manière discrétionnaire. b) sans que les critères de sélection soient rendus publics. c) la société civile peut être incluse dans la sélection des programmes ou projets, mais sans que ses propositions aient une influence concrète.",La sélection attribution des programmes d’allocation : a) n’est pas formalisée dans le cadre d’une procédure. b) se fait de manière totalement discrétionnaire par le pays d'origine et le pays d'accueil. c) n'inclut pas la société civile dans la procédure.,Le pays d’origine des avoirs choisit les programmes d’allocation de façon totalement discrétionnaire. OU Aucune information sur la sélection des programmes d’allocation n'est disponible.,,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,5. répartition des rôles de la structure de gouvernance ou des responsables de la gouvernance des fonds ,,,,,,Les acteurs intervenant dans la gouvernance des fonds : a) sont clairement identifiés. b) leur rôle et responsabilités sont définis.,Les acteurs intervenant dans gouvernance des fonds : a) sont clairement identifiés. b) leur rôles et responsabilités ne sont pas bien définis.,Seules les autorités principales sont identidifées comme acteur intervenant dans la gouvernance des fonds. ,Aucune information sur les rôles et responsabilités des acteurs intervenant dans la gouvernance des fonds n'est disponible.,,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,6. compétence et indépendance des responsables de la gouvernance des fonds,,,,,,Les acteurs chargés de la gouvernance des fonds sont : a) compétents. b) indépendants. c) impartiaux. d) sélectionnés à la suite d’un appel d’offres. e) le choix de leur sélection est motivé.,Les acteurs chargés de la gouvernance des fonds sont sélectionnés de manière discrétionnaire par le pays d’accueil ou d’origine. Cependant : a) ils sont indépendants b) ils sont compétents. c) les critères pris en compte dans leur sélection et les décisions prises sont justifiés. ,"Les acteurs chargés de la gouvernance des fonds sont sélectionnés à la discrétion du pays d’origine et du pays d’accueil des avoirs, les critères pris en compte dans leur sélection ainsi que les décisions prises ne sont pas justifiés. Leur indépendance et compétence n’est pas garantie explicitement. ",Aucune information n’est publiée sur les acteurs chargés de la gouvernance des fonds. ,,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,inclusivité (P_I),"On ne peut pas savoir quelles informations étaient effectivement accessible au moment de la sélection. Dans ce cas, retenir le degré du dessous.",7. capacité d'action,,,,,,Une consultation publique est organisée incluant la société civile et le grand public dans l’objectif de déterminer les besoins et attentes des populations affectées. Elle est organisée selon l’ensemble des conditions suivantes : a) à la suite d’un appel d’offres. b) elle a lieu avant la sélection programmes mis en place pour l’allocation des fonds. c) elle est ouverte à la société civile du pays d'origine et d'accueil. d) la société civile peut soumettre des propositions quant à l’affectation des fonds restitués. e) elle est organisée suffisamment en amont pour permettre à la société civile de soumettre ses propositions. f) le public consulté a accès à la documentation nécéssaire pour soumettre des propositions. ,"Ce degré est rempli dans ces deux situations (non cumulatives) : 1. Une consultation publique est organisée incluant la société civile dans l’objectif de déterminer les besoins et attentes des populations affectées. Cette consultation respecte les critères suivants a) existence d’un appel d’offres b) ouverture à la société civile du pays d'origine et d'accueil. c) possibilité pour la société civile de soumettre des propositions quant à l’affectation des fonds restitués. 2. Aucune consultation publique n’est organisée, mais la société civile est consultée dans l’objectif de déterminer les besoins et attentes des populations affectées. Cette consultation respecte les critères suivants a) existence d’un appel d’offres b) ouverture à la société civile du pays d'origine et d'accueil. c) possibilité pour la société civile de soumettre des propositions quant à l’affectation des fonds restitués.",Aucune consultation publique n’est organisée. L’association des OSC se limite à l’audition de certaines OSC sélectionnées à la discrétion du pays d’origine et du pays d’accueil des avoirs.,"Ni la société civile, ni le grand public ne sont consultés pour pour déterminer les besoins et attentes des populations, ni pour la sélection des programmes d’allocation. Ce degré est également rempli si aucune information n'est disponible à ce sujet.",,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,8. modalités de participation ,,,,,,"Les OSC sont incluses dans la structure de gouvernance, ou dans la gouvernance des fonds. Elles sont sélectionnées à la suite d'un appel d'offres qui répond aux meilleures pratiques (candidatures ouvertes, dépôt de candidature en ligne, critères de sélection clairs). Elles sont indépendantes et compétentes. ","Les sont OSC incluses dans la structure de gouvernance ou dans la gouvernance des fonds, mais elles ne sont pas sélectionnées à la suite d'un appel d’offres. Elles sont compétentes et indépendantes. ","Les OSC incluses dans la structure de gouvernance, ou dans la gouvernance des fonds, sont sélectionnées à la discrétion du pays d’origine et du pays d’accueil des avoirs, sans aucune transparence sur les critères pris en compte dans leur sélection. ","Ce degré est rempli si (non cumulatif) : a) Les OSC ne sont pas incluses du tout dans la structure de gouvernance, ni dans la gouvernance des fonds. Elles ne sont pas consultées dans la gestion et l’allocation des fonds. b) Ce degré est également rempli si aucune transparence n'existe sur l'association des OSC dans la gestion et l’allocation des fonds. ",,,,,,,
Etape 2,,,,Codification V3 Excel.xlsx,,,,,,9. sélection des objectifs priorisés et mise en œuvre des programmes d’allocation,,,,,,"Les programmes d’allocation et priorités identifiées répondent à un réel besoin de la population, et ont clairement pour objectif de bénéficier à la population. Les programmes sélectionnés pour allouer les fonds restitués sont structurés de manière à être le plus inclusifs possible, en s'adaptant à la population ou aux entités visées.","Les programmes d’allocation et les priorités identifiées répondent à un besoin de la population, bien identifié. Cependant, aucun d’effort spécifique n’est mis en place pour qu’ils soient les plus inclusifs et adaptés possible.",Les programmes d’allocation sélectionnés ne répondent pas aux besoins urgents exprimés ou constatés chez les populations concernées. Ce degré également retenu si les choix des programmes d’allocation ne sont pas justifiés. ,Aucune information n'est publiée à ce sujet. Ce degré est également retenu si aucun des documents accessibles ne mentionne l'objectif que la population bénéficie des fonds restitués.,,,,,,,
Etape 3,,,,Codification V3 Excel.xlsx,,E3 ,"Identification des besoins, sélection des responsables de la gouvernance des fonds et sélection des programmes d’allocation des fonds",transparence (P_T) ,"La société civile et le grand public ont accès à l’ensemble des informations et de la documentation concernant la sélection des entités récipiendaires, l’allocation des fonds restitués et leur décaissement.",1. modalités d'accès à l'information ,,,,,,,"Les informations concernant la sélection des entités récipiendaires, l'allocation et le décaissement des fonds restitués, sont publiées en source ouverte mais elles sont (non cumulatif) : a) pas centralisées. b) pas accessibles dans la langue du pays d'accueil / d'origine.",,"La sélection des entités récipiendaires, l'allocation des fonds restitués et leur décaissement se font de manière totalement discrétionnaire et aucune information n’est publiée à ce sujet. ",,,,"Les informations concernant la sélection des entités récipiendaires, l'allocation et le décaissement des fonds restitués respecte l'entièreté des critères suivants : a) sont publiées en source ouverte. b) sont publiées de manière centralisée, sur un site ou une page web dédiée. c) sont accessibles par défaut depuis le pays d'origine et le pays d'accueil, dans leurs langues.","Au moins une des situations suivantes est rencontrée concernant la sélection des entités récipiendaires, l'allocation et le décaissement des fonds restitués : a) l’accès à une partie importante des informations est restreint aux parties prenantes uniquement. b) seules des informations générales sont publiées, de manière non centralisées et irrégulières. c) les informations ne sont pas publiée en source ouverte (il faut un code d'accès, une inscription pour les obtenir).",,
Etape 3,,,,Codification V3 Excel.xlsx,,,,,,2. niveau de détail de l'information ,,,,,,,Au moins deux des informations et documentations suivantes sont publiées : a) les informations concernant la procédure d’appel d’offres et d’attribution. b) l'identité des entités sélectionnées et les détails sur les projets bénéficiaires. c) les décisions d'attribution détaillant les raisons pour lesquelles les offres retenues ont été considérées comme étant les meilleures. d) les contrats résultant de la procédure d'appel d'offres.,,"Aucune information concernant la sélection des entités récipiendaires, l'allocation des fonds restitués et leur décaissement n'est publiée.",,,,L'ensemble des informations et documentations suivantes sont publiés : a) les informations et la documentation concernant la procédure d’appel d’offres et d’attribution. b) l'identité des entités sélectionnées et les détails sur les projets bénéficiaires. c) les décisions d'attribution (raisons pour lesquelles les offres retenues ont été considérées comme étant les meilleures). d) les contrats résultant de la procédure d'appel d'offres.,Au moins une des informations et documentations suivantes est publiée : : a) les informations concernant la procédure d’appel d’offres et d’attribution. b) l'identité des entités sélectionnées et les détails sur les projets bénéficiaires. c) les décisions d'attribution détaillant les raisons pour lesquelles les offres retenues ont été considérées comme étant les meilleures. d) les contrats résultant de la procédure d'appel d'offres.,,
